openalex_id,doi,title,year,venue,track,source,fetch_ts_utc,source_url,sha256,n_chars
W2588003345,10.1371/journal.pone.0169748,SoilGrids250m: Global gridded soil information based on machine learning,2017,PLoS ONE,fulltext,europepmc,2026-07-02T20:59:14Z,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5313206/fullTextXML,e58e84a4376364609218fff238076fbbed2703961b85f2757bc4f1ffabc593bb,113397
W3166420679,10.5194/soil-7-217-2021,SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty,2021,SOIL,abstract_only,openalex,2026-07-02T20:59:14Z,https://openalex.org/W3166420679,584fe7b882d3dd892dc360785e424ce362a80e9df96f732c716a37343221ce66,1304
W2927507212,10.1038/s41587-019-0071-9,A comparison of single-cell trajectory inference methods,2019,Nature Biotechnology,abstract_only,openalex,2026-07-02T20:59:14Z,https://openalex.org/W2927507212,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
W2797928606,10.1002/widm.1301,Hyperparameters and tuning strategies for random forest,2019,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,abstract_only,openalex,2026-07-02T20:59:14Z,https://openalex.org/W2797928606,170907a740601a5709195b41bb900a0d718e142ab7dbc47d26513053ac7af6da,1436
W2745770579,10.1073/pnas.1706103114,"Soil carbon debt of 12,000 years of human land use",2017,Proceedings of the National Academy of Sciences,abstract_only,openalex,2026-07-02T20:59:16Z,https://openalex.org/W2745770579,3e1ba12f888c1f8483940fe37a3480705c9c60ee80d0f4a3f4680c6d33d2be71,1530
W2793997912,10.7717/peerj.5518,Random forest as a generic framework for predictive modeling of spatial and spatio-temporal variables,2018,PeerJ,fulltext,europepmc,2026-07-02T20:59:17Z,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6119462/fullTextXML,5cd37fde16a0c563d04a6cc5784c294e61306a08c80c402f5ecdc3499a5f4347,121883
W3088162569,10.1109/jstars.2020.3026724,Support Vector Machine Versus Random Forest for Remote Sensing Image Classification: A Meta-Analysis and Systematic Review,2020,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,abstract_only,openalex,2026-07-02T20:59:17Z,https://openalex.org/W3088162569,53d48e22a1fa8c29da7a5f4672d4e0b5bb61bb7b45f8e969a12607bdec07a150,1367
W2802643674,10.1093/bioinformatics/bty373,The revival of the Gini importance?,2018,Bioinformatics,fulltext,europepmc,2026-07-02T20:59:18Z,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6198850/fullTextXML,1e4f0c93187b4bee8d4229bb217d0484dfc62e15f406e0870891ddaaba6d8a62,41721
W2943160824,10.3390/w11050910,A Brief Review of Random Forests for Water Scientists and Practitioners and Their Recent History in Water Resources,2019,Water,abstract_only,openalex,2026-07-02T20:59:18Z,https://openalex.org/W2943160824,bf7babe063c0f9690adcbee3ffdd3129f6852baea798e7df11f81bc77fe685d1,952
W2973941913,10.1016/j.csda.2019.106839,Benchmark for filter methods for feature selection in high-dimensional classification data,2019,Computational Statistics & Data Analysis,abstract_only,openalex,2026-07-02T20:59:18Z,https://openalex.org/W2973941913,8dac28525a1d7c7aefd74ca7e501260f23e0cca85cc1cf28d230ba5ee2e49431,1236
W2891385203,10.1186/s12863-018-0633-8,Using recursive feature elimination in random forest to account for correlated variables in high dimensional data,2018,BMC Genetics,fulltext,europepmc,2026-07-02T20:59:18Z,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6157185/fullTextXML,290da62717fb478c7baee3a1d773c28dd9491e554ab5035ce588b5f67a33d3b7,26313
W2794916302,10.1016/j.ecolmodel.2019.06.002,Hyperparameter tuning and performance assessment of statistical and machine-learning algorithms using spatial data,2019,Ecological Modelling,abstract_only,openalex,2026-07-02T20:59:18Z,https://openalex.org/W2794916302,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
W3211132102,10.1016/j.scib.2021.10.013,Mapping high resolution National Soil Information Grids of China,2021,Science Bulletin,abstract_only,openalex,2026-07-02T20:59:19Z,https://openalex.org/W3211132102,eac198f4e896dd8fc1be4b159436a941ca6907b7d462ed890e37cda293d7754d,1843
W3172697043,10.1038/s41586-021-03565-5,Global prevalence of non-perennial rivers and streams,2021,Nature,abstract_only,openalex,2026-07-02T20:59:19Z,https://openalex.org/W3172697043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
W4280592757,10.1126/science.abm9583,High-resolution mapping of losses and gains of Earth’s tidal wetlands,2022,Science,abstract_only,openalex,2026-07-02T20:59:19Z,https://openalex.org/W4280592757,63c9e07b429e41852e58756e2ac7a2f9b4d0356d4c1e9cc4d15b055b204528a5,840
W3121901985,10.1111/ecog.05485,ENMTools 1.0: an R package for comparative ecological biogeography,2021,Ecography,abstract_only,openalex,2026-07-02T20:59:19Z,https://openalex.org/W3121901985,bb0bfaa0b7b8d35fcbd8fa6fe934fc2c6a3d667db0dc1198787ba1b0c6d18375,1534
W3088997255,10.1038/s41467-020-18479-5,Summer warming explains widespread but not uniform greening in the Arctic tundra biome,2020,Nature Communications,fulltext,europepmc,2026-07-02T20:59:20Z,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7509805/fullTextXML,51d297457970c9878ab1af7e8fba87cb0c96f106a3701e892eef509f44bf9106,86307
