openalex_id,cites,pvalue_method,title,doi,adjudication_reason
W2588003345,4684,none,SoilGrids250m: Global gridded soil information based on machine learning,10.1371/journal.pone.0169748,"The paper reports ""Fitted variable importance plots"" (Fig 6) generated directly from ranger and xgboost's built-in importance (no mention anywhere in the text of ""permutation,"" ""SHAP,"" ""Boruta,"" or ""conditional"" importance), i.e. the default impurity/gain-type measure for both packages. This ranking is used to state specific, non-hedged conclusions: ""spatial pattern of soil pH is primarily influenced by precipitation and surface reflectance,"" ""depth emerges as the most important covariate,"" and ""DEM-parameters...emerge as second-most dominant covariates"" for soil types/textures. Corroboration offered is only qualitative (""largely correspond with conventional soil survey knowledge""), a handful of raw bivariate scatter plots (Fig 7, not partial-dependence/ALE controlling for other covariates), and overall cross-validated R-square (which validates predictive accuracy of the full model, not the selected feature ranking) — none of which meets the bar of permutation/SHAP/PDP/conditional-importance/held-out validation of the ranking itself. The mismatch the authors themselves note (lithology visibly shapes predictions yet falls outside the top-15 importance list) is consistent with the classic impurity-importance artifact of under-weighting lower-cardinality categorical covariates relative to fine-grained continuous ones like precipitation/temperature/reflectance, so the bias could plausibly have altered this specific, stated ranking-based conclusion."
W2741922227,317,none,Soil nutrient maps of Sub-Saharan Africa: assessment of soil nutrient content at 250 m spatial resolution using machine learning,10.1007/s10705-017-9870-x,"The paper fits ranger random-forest models over huge covariate stacks (hundreds of thousands of pixels, dozens of correlated remote-sensing/climate layers) and reports ""Top ten most important covariates per nutrient, reported by the ranger package"" (Table 2) and a ""variable importance plot"" (Fig. 11); nowhere does the text specify permutation, SHAP, conditional (party/cforest), or debiased importance, and the emphasis on computational feasibility (""MLA's can demand excessive computing time... limit prediction modeling to ranger and xgboost"") is consistent with the cheaper default impurity/variance-reduction importance rather than the costlier permutation variant. The ranking is used to state central, assertive conclusions: ""soil pH is clearly most important covariate for Na, K, Ca, Mg, Al,"" ""Precipitation... distinctly comes as the most important covariate overall,"" and, for crop yield, ""the most influential predictors... are: crop type, selection of nutrients and micro-nutrients (Mn, Zn, Al, B, Na)... This proves that producing maps of soil nutrients is indeed valuable for modeling agricultural productivity"" -- the latter being effectively the paper's headline justification for its mapping effort. No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the selected feature set is reported anywhere; the only quantitative checks given (OOB RMSE, cross-validated R-square) validate overall predictive accuracy, not the covariate ranking itself. The authors' own hedge -- that ""because soil nutrients are heavily cross-correlated... relatively high importance of Mn and Zn could also indicate high importance of P, B, Fe and/or S"" -- is an informal acknowledgment of exactly the correlation/interaction confound that drives impurity-importance bias, but it is a caveat, not a corroborating analysis, and it leaves the confident core claim (soil-pH/precipitation/nutrient dominance) intact. All three CONFIRMED criteria are therefore met."
W3111077008,281,none,African soil properties and nutrients mapped at 30 m spatial resolution using two-scale ensemble machine learning,10.1038/s41598-021-85639-y,"The paper builds its headline claims directly on Random Forest (ranger) variable-importance plots (""The combined variable importance plots derived using Random Forest... reveal that... climatic images such as SM2RAIN... and CHELSA bioclimatic images... are the most important covariates"" and ""Sentinel-2 B11, B09 and B12, DTM vertical depth and Landsat SWIR1 are overall the most important""), with no mention anywhere in the text of permutation, SHAP, conditional, or PDP-based importance -- only ranger's default (impurity/variance-reduction) importance is described. This ranking is explicitly load-bearing for the abstract's conclusion, the stated 25% budget allocation to Sentinel-2 processing, and forward-looking recommendations (e.g., anticipating the LSTM mission based on MODIS LST importance, prioritizing peatland/nutrient sampling). The only corroborating evidence offered is (a) overall model accuracy/CCC/R2 improving when 30m covariates are added, which per the rubric does not validate a ranking, and (b) a preliminary univariate/few-band correlation-based R2 screening (Fig. 1) that only partially overlaps with the eventual RF-derived top bands (e.g., B04 tops the correlation analysis but not the final RF list; B09 tops RF importance but not the correlation screen) and does not cover the climatic-covariate ranking claim at all. No formal permutation, SHAP, PDP/ALE, or held-out validation of the specific selected/ranked feature set is presented, so the flag survives: impurity importance is used, its magnitude/ranking is central to stated conclusions, and corroboration is inadequate."
W2794772181,192,none,Global mapping of potential natural vegetation: an assessment of machine learning algorithms for estimating land potential,10.7717/peerj.5457,"The paper never names its importance method explicitly (no ""permutation,"" ""Gini,"" or ""impurity"" anywhere in the full text), but the workflow (ranger RF fitted via caret on datasets up to 1.5 million points and 180 covariates, with heavy emphasis on computational cost/time throughout) strongly implies the fast, built-in impurity importance rather than the far costlier permutation importance was used; permutation importance at this scale would have been computationally prohibitive and would have been worth mentioning given how much the paper dwells on compute limits. Ranking is clearly central to the paper's conclusions: the abstract and Conclusions section state verbatim which covariates are ""the most important predictors"" for each of the three case studies, and the Discussion builds a substantive ecological claim (that vegetation distribution is climate-dominated rather than lithology/landform-dominated) directly from lithology ""not amongst the top 20 most important predictors,"" while also interpreting rank magnitude (""the decline in variable importance was, however, gradual""). Corroboration is limited strictly to predictive-accuracy metrics (TPR/AUC/RMSE/R2, spatial cross-validation) plus post-hoc ecological plausibility argument; there is no permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the selected/ranked feature set anywhere in the paper. Since the ranking itself is never independently validated and it underwrites a real ecological conclusion, the flag holds."
W3137588420,161,none,A first-generation pediatric cancer dependency map,10.1038/s41588-021-00819-w,"Methods describe a scikit-learn ""Random forest regression"" model with no mention anywhere in the text of permutation, SHAP, PDP/ALE, or conditional importance; the Ext. Data Fig. 9b/c legends explicitly state ""the y-axis shows the feature importance as calculated by the predictive model,"" i.e. RandomForestRegressor's default impurity/MDI importance. This ranking underlies specific stated conclusions: ""BCL2L1 expression was the most important feature in predicting MCL1 dependency,"" ""the top predictive feature for MDM2 dependency was RNA expression of EDA2R... as a surrogate marker for functional p53,"" and ""Predictive feature modeling for HDAC2 highlighted RNA expression of its known target FUCA1. This suggests that lower expression of FUCA1 indicates pediatric cell lines with high HDAC activity."" The only corroboration offered is (a) bivariate scatter/linear-fit plots of the single top feature versus dependency score (Fig. 3c; Ext. Data Fig. 8b) and (b) overall model accuracy via 5-fold CV Pearson correlation between predicted and observed CERES scores. Neither validates that the reported feature actually outranks other correlated candidates in the multivariate importance computation: per the stated rubric, overall model accuracy does not validate the selection, and a bivariate plot of only the winning feature cannot demonstrate it beat competing features in a fair (bias-corrected) comparison. No permutation importance, SHAP, PDP/ALE, or conditional-importance analysis appears anywhere in the full text, methods, or supplementary table descriptions (Supplementary Table 6 just reports ""feature importance"" per top feature from the same RF models). The MCL1 functional follow-up (CRISPR knockout, S63845 inhibitor sensitivity) validates that the MCL1 dependency itself is real, not that BCL2L1 specifically (versus other correlated BCL-2-family transcripts or confounders) is the true top predictor. All three CONFIRM criteria are therefore met: genuine impurity importance use, centrality to stated conclusions, and lack of adequate corroboration."
W3173126360,141,none,RaFAH: Host prediction for viruses of Bacteria and Archaea based on protein content,10.1016/j.patter.2021.100274,"The paper explicitly states ""variable importance was estimated using the impurity method"" and Table S1's importance ranking is used to name ""the most important predictor"" (an Rz-like lysis protein) and identify the ""50 most important proteins,"" which is then used to support the central claim that ""RaFAH learned to predict virus-host associations based on proteins that are directly involved in virus-host molecular interactions."" This ranking-based mechanistic claim is corroborated only by qualitative biological plausibility (these protein types are known to be involved in host range) and by held-out validation of overall model accuracy (F1/precision/recall on Test Set 2), not by permutation importance, SHAP, PDP/ALE, conditional importance, or held-out predictive validation restricted to the selected top-feature subset. Since impurity importance is used, its magnitude/ranking is central to a stated biological conclusion, and no adequate corroboration of the ranking itself exists, all three conditions for CONFIRMED are met."
W3113435130,81,none,Satellites can reveal global extent of forced labor in the world’s fishing fleet,10.1073/pnas.2016238117,"The paper explicitly computes feature importance as ""the unbiased corrected Gini index, a measure of how well individual features do at reducing node impurity"" — this is an impurity/Gini-type measure (a bias-corrected variant per Nembrini et al. 2018 that addresses split-count bias, not the superlinear/interaction/nonlinearity biases at issue here), not a permutation, SHAP, or conditional-importance measure. The resulting ranking (engine power, max distance from port, voyages/year, avg daily fishing hours) is used to support substantive causal-flavored claims in the Results text: ""forced labor appears to cluster in similarly sized vessels,"" consistency with ""expert opinion"" and ILO indicators, and that vessels ""may actively avoid scrutiny."" No permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of this specific feature ranking is reported anywhere in the text; the paper's only ""robustness checks"" and 10-fold CV validate overall model classification performance (F1/recall/detection prevalence) and the number of vessels flagged, not the importance ranking itself. Because all three conditions (impurity-based importance used, ranking central to a stated conclusion, no adequate corroboration of the ranking) are satisfied, the flag is confirmed rather than refuted."
W3154410843,76,none,Increased ozone pollution alongside reduced nitrogen dioxide concentrations during Vienna’s first COVID-19 lockdown: Significance for air quality management,10.1016/j.envpol.2021.117153,"The paper trains its BAU/deweathering random forests entirely through the rmweather wrapper around ranger, and never mentions permutation, SHAP, PDP/ALE, or conditional importance anywhere in the text (verified by exhaustive keyword search of the fulltext); it reports only train/test correlation coefficients (r) as ""predictive performance,"" which the rules explicitly say does not validate a feature ranking. The impurity-based ranking is then used to draw specific, stated conclusions: it is invoked as one of the paper's stated secondary contributions (""the importance of taking meteorology into account... is shown""), it is used to claim the RF models are demonstrably capturing real chemical/physical processes (""demonstrating the random forest models' interpretability nature""), and most concretely it supports a novel, counter-to-expectation scientific claim — that ""RH is, on average, more important than Tair"" for ozone, explicitly flagged as valuable for ""future studies"" on O3 sensitivity to meteorology — plus a discussion-section claim (Sec 3.5) that wind dominates NO2 while RH/Tair dominate O3/Ox, used to explain differing magnitudes of lockdown effects. None of these ranking claims are corroborated by permutation importance, SHAP, PDP/ALE shape analysis, conditional importance, or held-out validation of the selected ranking itself, so all three conditions for CONFIRMED are met."
W3010955233,68,none,Mast cell‐based molecular subtypes and signature associated with clinical outcome in early‐stage lung adenocarcinoma,10.1002/1878-0261.12670,"Section 2.8 only says a ""randomforest"" model was built (via the R randomForest package, Liaw and Wiener 2002) and Fig. 6's caption reports a single unlabeled ""importance of ranking"" with no mention of permutation, SHAP, conditional importance, or type=1 testing; the R randomForest package's node-purity (Gini/IncNodePurity) measure is computed by default even without the extra importance=TRUE permutation step, so the far more likely candidate is impurity importance, consistent with the first pass. This ranking is explicitly load bearing for the paper's central mechanistic claim (""TP53 and CSMD3 were the most important gene mutations,"" ""TP53 was the most important mutation,"" and in the Discussion ""we further identified TP53 as the most critical mutation,"" which is then wired into a TP53 to c MYC to mast cell narrative). The only independent check offered is a Mann Whitney U test (Fig. 5F) showing TP53 mutated patients have higher risk scores than wild type — this validates that TP53 alone associates with the score, but it says nothing about the relative ranking against CSMD3 or other mutated genes, does not use permutation/SHAP/PDP/conditional importance, and is not held out predictive validation of the selected feature set, so it does not meet the corroboration bar for the ranking itself. All three confirmation conditions are therefore satisfied."
W2923961976,66,none,Resting state connectivity best predicts alcohol use severity in moderate to heavy alcohol users,10.1016/j.nicl.2019.101782,"The paper explicitly uses ranger's impurity importance (""Feature importance was evaluated using an impurity measure based on standardized response variance...scale.permutation.importance...set to FALSE""), and Table 2's ranked list of specific connectivity features (BG within-network, ASN-Sensorimotor, vDMN-vDMN, etc.) is used to support the central conclusion that specific SN/DMN/ECN/BG/sensory connections (not just the rs-fMRI modality generally) drive the 33% explained variance and corroborate the addiction-cycle neurocircuitry model. The only corroboration offered is (a) held-out R2/RMSE validation of the whole rs-fMRI model (aggregate predictive performance, not the individual feature ranking) and (b) a purely qualitative scatter plot (Fig. 3) of top features vs AUDIT in the validation sample with no reported statistics. Critically, the authors themselves concede this gap, writing ""we do emphasize the need to focus on the results from the validation sample and interpret cautiously findings from the primary sample (i.e., the feature importance rankings), as the latter are not tested for generalizability."" No permutation importance, SHAP, PDP/ALE, or conditional importance was computed for the individual features. All three confirmation criteria are met, so the flag is CONFIRMED rather than refuted."
