openalex_id,track_in_filter,pvalue_method,corroboration,feature_heterogeneity,title,doi,evidence
W3201785827,survivor,altmann,pdp_ale,scale_mismatch|skewed,Evolutionary drivers of the hump-shaped latitudinal gradient of benthic polychaete species richness along the Southeastern Pacific coast,10.7717/peerj.12010,"The paper states ""four were significant (median latitudinal range, SST, salinity and SST range; ranked according to its importance, see Table 2)."" The key conclusion is: ""the prevalence of the median latitudinal range as the most important predictor of the species richness, being also the predictor with a high degree of phylogenetic conservatism, strongly supports the idea of an extra-tropical origin for many polychaetes species."" Variable importance uses ""conditional random forest which accounts for the possible predictor collinearity (Strobl et al., 2008), based on the method proposed by Altmann et al. (2010), with p-values based on 10,000 permutations."" Table 2 shows importance rankings (Median lat. range: 831.525, SST: 732.814, Salinity: 541.348, SST range: 217.978) for variables with different scales and collinearity (VIF 3.18-9.33)."
W4390540183,survivor,altmann,pdp_ale,mixed_types|scale_mismatch,"Killer whale acoustic patterns respond to prey abundance and environmental variability around the Prince Edward Islands, Southern Ocean",10.1098/rsos.230903,"The paper states: ""Random forest modelling identified wind speed as the primary predictor of the occurrence of killer whale calls (with a negative correlation) while sea surface height, chlorophyll-a and sea surface temperature were moderately important"" and ""Wind speed was the most important predictor of the occurrence of echolocation clicks and social calls."" The discussion interprets these rankings ecologically: ""Wind speed was the most important predictor... as their occurrence in October to December coincided with low wind speed."" No alternative importance measures (permutation importance, SHAP, conditional importance) or held-out predictive validation support the magnitude and ranking."
W4394722945,survivor,altmann,none,,Machine learning model of the catalytic efficiency and substrate specificity of acyl-ACP thioesterase variants generated from natural and in vitro directed evolution,10.3389/fbioe.2024.1379121,"The paper states: ""Feature importance scores for each residue position... were calculated based on the total decrease in node gini-impurity."" Residues were ""ranked in descending order based on their importance scores"" and the final model contained ""the top 22 residue positions."" The central finding is that ""the majority of highest scoring residues (17 out of 22 residues) reside within the N-terminal hot-dog structure,"" directly depending on which specific residues ranked highest. Cross-validation assessed model classification performance (recall 92%, MCC 0.87) but not importance magnitude validation. Only 6 of 22 residues had prior experimental validation; the remaining 16 were identified new by the importance ranking."
W4389274765,survivor,altmann,none,mixed_types|high_cardinality|skewed|scale_mismatch,The role of external factors on the reactivation of the heritage language of Turkish-German returnees,10.3389/fpsyg.2023.1156779,"The paper presents random-forest importance rankings in Tables 4-5 and interprets which predictors are ""most important"" and ""critical factors"": ""frequency of Turkish use emerged as a critical factor"" and ""The most important predictor, in this case, is the time a returnee spent in Germany."" These magnitude/ranking claims directly answer the study's main research question (""What external factors modulate the attainment in the (re-)activated HL?"") but lack independent validation via permutation importance, SHAP, conditional importance, or held-out validation. Partial dependence plots visualize the fitted model but do not corroborate the importance ranking."
W4413304431,survivor,altmann,pdp_ale,mixed_types|high_cardinality|skewed,Monthly and Diel Acoustic Occurrence of Four Baleen Whale Species in South African Waters,10.1002/ece3.72004,"The paper concludes: ""Sea surface height and sea surface temperature, either separately or in combination, were the most important predictors of whale acoustic occurrence, highlighting the influence of environmental conditions on the distribution, habitat selection, and ecology of these whales"" (abstract). This ranking-based conclusion is unsupported by independent corroboration methods. While Figure 6a shows partial dependence influence curves for the relationships, the paper relies on importance ranking from ranger's default Gini importance (scaled to percentages) to claim which predictors are ""most important"" versus ""moderately important"" versus ""least important"" (Results, Section 3.5). Statistical significance testing uses Altmann's permutation method, which only tests whether importance != 0, not whether the ranking is reliable or resistant to bias from skewed features (chlorophyll-a) or high-cardinality categorical features (hour with 24 levels)."
W4319756428,survivor,boruta,none,skewed|scale_mismatch,Leveraging Scheme for Cross-Study Microbiome Machine Learning Prediction and Feature Evaluations,10.3390/bioengineering10020231,"""The top features were defined as the highest average normalized hits across 100 iterations"" and the random forest importance (Z-scores) are evaluated and compared with shuffled replicas to determine importance. The paper makes biomarker selections based on importance ranking: ""these consistently high-importance taxa are good candidates for disease-related microbial biomarkers."" While ANCOM-BC differential abundance provides some validation for CRC and CD, this corroboration is incomplete and fails entirely for immunotherapy (""ANCOM-BC did not identify any genus and species-level taxa as being differentially abundant""), yet the importance-based biomarker claims remain central to the conclusions without reliance on permutation, SHAP, PDP/ALE, conditional importance, or held-out validation."
W4220970849,survivor,boruta,none,mixed_types|high_cardinality|scale_mismatch,Siderophores as an iron source for picocyanobacteria in deep chlorophyll maximum layers of the oligotrophic ocean,10.1038/s41396-022-01215-w,"The paper states it uses ""the relative importance obtained from the feature importance algorithm"" (Ranger default = impurity importance) to weight PCs and rank variables. It explicitly claims: ""Of all trace metals in the global dataset, dFe measured from GEOTRACES samples explained most of the weighted variance across the principal component predictors used in the random forest."" Based on importance rankings, the authors conclude that ""dFe's predictive power in the random forest was primarily derived from its nonlinear associations and interactions with other environmental variables"" despite showing dFe has weak linear correlation (r = -0.10). These importance-based interpretations are central to supporting the paper's main conclusion that specific environmental variables drive siderophore consumer biogeography."
W3187073625,survivor,boruta,none,mixed_types|skewed,Prediction of long-term survival after gastrectomy using random survival forests,10.1093/bjs/znab237,"The paper ranks variables as ""the most important variables were number of positive lymph nodes, pT stage and completeness of resection"" based on impurity importance filtering via Boruta (""comparing the importance of candidate variables in a random forest to a corresponding set of 'shadow' variables""). This ranking is central to conclusions: ""The most important variables identified (lymph node status, pT stage, resection margin) are well recognised as highly prognostic."" However, no independent corroboration is provided—survival curves and RMST/LED/LER metrics derive from the same impurity-based model. Lymph node counts are count data likely heavily skewed, vulnerable to impurity-importance magnification."
W4298144862,survivor,boruta,,mixed_types|high_cardinality|skewed|scale_mismatch,Oropharyngeal microbiome profiled at admission is predictive of the need for respiratory support among COVID-19 patients,10.3389/fmicb.2022.1009440,"The paper ranks microbiome features by importance and selects which to highlight based on rank position. Key passages: (1) ""Based on the median calculated permutated variable importance, a ranking of which features contributed most to the prediction...the relative abundance of P. salivae is the most important predictor"" and ""ranked higher than both patient age and BMI""; (2) ""Decreased P. salivae abundance was the strongest and most general predictor""; (3) Conclusion claims species with high importance ""contribute to COVID-19 respiratory symptoms"" and ""the decreased abundance of some organisms, primarily P. salivae, is predictive."" No corroboration via permutation importance, SHAP, PDP/ALE, conditional importance, or held-out validation of the ranking itself."
W4408188986,survivor,boruta,conditional,mixed_types|high_cardinality|scale_mismatch,Combining Environmental Variables and Machine Learning Methods to Determine the Most Significant Factors Influencing Honey Production,10.3390/insects16030278,"The paper uses Random Forest impurity importance (via Ranger package) to rank features and states: ""Among the 18 features retained after the feature selection process, the average temperature and pressure in February (T2M_2 and PS_2), as well as the average wind speed in January (WS2M_1), emerged as the most significant predictors"" (Sect. 3.4). Figure 2 displays ""Feature importance based on Random Forest"" with explicit ranking. No permutation importance, SHAP, PDP/ALE, or held-out validation of importance is provided. Boruta is used for feature selection (zero/non-zero detection) but not to validate the ranking. Discussion and conclusions hinge on this ranking: ""Beekeepers can use pre-harvest weather parameters, such as winter temperature, humidity, atmospheric pressure, and wind speed, to inform management strategies"" (Conclusions). Dataset contains multiple correlated monthly variants (T2M_12, T2M_1, T2M_2, T2M_MAX_1/12/2, T2M_MIN_1/12/2; RH2M variants; WS2M variants in different months), EVI at 5 different months, and features spanning disparate scales (pressure ~99 kPa, temperature ~2-15°C, wind ~1 m/s, EVI ~0.4-0.55)."
